Каталог|Средства для защиты;Средство для защиты от ос и шершней Отос;Средство для защиты от ос и шершней Отос;25;https://klubsadprof.ru/local/templates/klubsadprof/components/bitrix/catalog.element/custom_store_v3/images/no_photo.png;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Средство для защиты от ос и шершней ОТОС специально разработано для использования в личных приусадебных хозяйствах. Препарат представляет собой приманку, состоящую из нескольких компонентов. Осы и шершни прилетают на ее запах, контактируют и погибают. Для полезных насекомых и пчел ОТОС безопасен. Использование ядовитых приманок — самый экологичный и безопасный для человека способ уничтожения опасных насекомых.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Средства для защиты;Средство для защиты от слизней и улиток Слизнеед Нео;Средство для защиты от слизней и улиток Слизнеед Нео;25;https://klubsadprof.ru/upload/iblock/856/0rnnuz76rab1x124zcmr6f4vtkkjo2ek/sredstvo_dlya_zashity_ot_slizney_i_ulitok_slizneed_neo_27_rub.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Современный препарат от слизней и улиток на овощных, плодовых, ягодных, цитрусовых, цветочно-декоративных культурах и винограде. Удобен в применении, обладает высокой эффективностью и длительным защитным действием, помогает избежать снижения урожайности и потери товарного вида продукции.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Средства для защиты;Средство защиты от сорняков Миура;Средство защиты от сорняков Миура;42;https://klubsadprof.ru/local/templates/klubsadprof/components/bitrix/catalog.element/custom_store_v3/images/no_photo.png;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Миура – современный препарат против злаковых сорняков с избирательным действием, не повреждающий садово-огородные культуры. Гербицид усиленно поглощается листьями сорных растений, что блокирует развитие их роста. Первые признаки воздействия средства проявляются через 7-10 дней: побеги желтеют и прекращают расти. Гибель сорняков наступает через 1-3 недели.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Средства для защиты;Средство для защиты от болезней Фитолавин;Средство для защиты от болезней Фитолавин;25;https://klubsadprof.ru/upload/iblock/5a8/qf431d8akyff7op8xxj76sdtq5zhtwqe/sredstvo_dlya_zashity_ot_bolezney_fitolavin_27_rub.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Почему гнили лечим Фитолавином:
- только Фитолавин может помочь при большом распространении бактериальных болезней овощных культур в защищенном грунте
- не подавляет, а стимулирует рост и развитие растений 
- особая экологичность, аналог природного антибиотика, выделенного из почвенных бактерий 

Для чего и где применять:
- для борьбы с бактериальными и грибными болезнями овощных и плодовых культур
- огурцы и томаты, как защищенного, так и открытого грунта от корневых и бактериальных гнилей, некрозов, альтернариоза
- яблони от бактериального ожога, монилиоза, парши

Как применять:
- в защищенном грунте – полив под корень рассады в фазе 2-3 настоящих листьев и после высадки рассады в грунт
- в открытом грунте – опрыскивание в период вегетации от 2-х до 4-х раз

Действие и результат:
- антибиотик бактерицидного и фунгицидного действия
- благодаря системному действию легко проникает в растение, перемещается по нему и лечит его изнутри					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Средства для защиты;Средство для защиты от вредителей Препарат 30 плюс;Средство для защиты от вредителей Препарат 30 плюс;218;https://klubsadprof.ru/upload/iblock/0cc/ws1tzgi4dcjcwxqtjyodqz6l5k0ta07e/sredstvo_dlya_zashity_ot_vrediteley_preparat_30_plyus_233_rub.png;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Минерально-масляная эмульсия вазелинового масла для борьбы с зимующими стадиями насекомых вредителей.

Применяется против вредителей:

- Щитовки, ложнощитовки, клещи, тли, червецы, а также яйца насекомых-вредителей.

Способ применения и дозировка:

Опрыскивать весной до распускания почек (не ниже 4 С), вторая обработка летом. 250 мл на 5 л воды.

Класс опасности:

3 - Умеренно опасное вещество.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Средства для защиты;Средство для защиты от вредителей Кинмикс;Средство для защиты от вредителей Кинмикс;25;https://klubsadprof.ru/local/templates/klubsadprof/components/bitrix/catalog.element/custom_store_v3/images/no_photo.png;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Средство Кинмикс – это современный инсектицид широкого спектра действия. Кинмикс относится к кишечно-контактным препаратам. Поэтому его действия начинается сразу же, как только средство попало на покровы или в пищеварительный тракт насекомого-вредителя.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Средства для защиты;Средство для защиты от болезней Тиовит Джет;Средство для защиты от болезней Тиовит Джет;50;https://klubsadprof.ru/upload/iblock/118/5j03irzb0g1r8226jyn0k5ril7zivfro/sredstvo_dlya_zashity_ot_bolezney_tiovit_dzhet_54_rub.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Контактный фунгицид-акарицид для защиты плодовых культур, винограда и роз от мучнистой росы. На винограде эффективен и против клещей. Действующее вещество— высококачественная сера в виде воднодиспергируемых гранул. В отличие от препаратов, содержащих коллоидную серу, ТИОВИТ® ДЖЕТ полностью растворяется, образуя однородную устойчивую суспензию, и отлично удерживается на обработанной поверхности по сравнению с другими серосодержащими фунгицидами. Малотоксичен.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Средства для защиты;Средство для защиты от болезней Фитоспорин;Средство для защиты от болезней Фитоспорин;33;https://klubsadprof.ru/upload/iblock/72a/w89jremvyg366ex6po6kciu16dy0c2op/sredstvo_dlya_zashity_ot_bolezney_fitosporin_36_rub.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Биофунгицид для защиты растений от грибковых и бактериальных болезней «Фитоспорин-М» универсальный, 10 г - микробиологический препарат, предназначенный для профилактики и лечения растений от грибных, бактериальных и вирусных болезней: гнили, парши, черной ножки, фузариоза, фитофтороза, фомоза, серой гнили, ризоктониоза, альтернариоза, бактериоза, пероноспороза, мучнистой росы, ржавчины, септориоза и др. Оздоравливает почву. Подходит для всех видов растений. Нормы расхода- 10 г на 20 л воды на 200 м2 при опрыскивании, на 5 л воды на 500 растений при погружении корней.

Состав: Биомасса живых клеток и спор бактерии Bacillus subtilis, штамм 26Д ,титр живых спор и клеток не менее - 2 млрд КОЕ/г.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Средства для защиты;Средство для защиты от болезней Купролюкс;Средство для защиты от болезней Купролюкс;42;https://klubsadprof.ru/upload/iblock/856/1u8r0w09ofi9wc1esgk0vdu8bmlu314e/sredstvo_dlya_zashity_ot_bolezney_kuprolyuks_45_rub.jpg;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Купролюкс – комплексный фунгицид на основе двух компонентов, которые лечат и защищают лук, огурцы, томат, картофель и виноград от ряда болезней. Хлорокись меди уничтожает возбудителей на поверхности растений. Цимоксалин иммунизирует и борется с заболеваниями изнутри.					</div>
<section class=""slider-info"">
</section>
</div>";
Каталог|Средства для защиты;Средство для защиты от вредителей Актара;Средство для защиты от вредителей Актара;269;https://klubsadprof.ru/local/templates/klubsadprof/components/bitrix/catalog.element/custom_store_v3/images/no_photo.png;"<div class=""product-description-inner tab-active"" data-tab-content=""product-description-1"">
<div class=""product-description-title"">Описание</div>
<div class=""product-description-text"">
						Актара – сильнейший инсектицид для защиты картофеля, смородины и цветочных культур от вредителей. Воднодиспергируемые гранулы. Проникая внутрь растения сохраняет длительную активность против основных вредителей сельскохозяйственных культур. Позволяет бороться со многими видами вредителей.					</div>
<section class=""slider-info"">
</section>
</div>";
